trade_zeile,symbol,entry_time,exit_time,pnl_pct,allocation,capital_after
280,HCA,2022-07-01,2022-07-05,-3.3,1566.52,15457.75
279,SYK,2022-07-01,2022-07-05,-3.3,1566.52,15509.45
281,MMM,2022-07-12,2022-07-14,-3.3,1562.97,15578.13
282,DELL,2022-07-15,2022-08-26,-3.3,1557.81,15475.31
283,NOW,2022-07-20,2022-07-21,-3.3,1557.81,15526.72
284,FTNT,2022-08-23,2022-08-29,-3.3,1552.67,15424.07
285,APP,2022-09-02,2022-09-16,-3.3,1542.41,15322.27
286,TSLA,2022-09-07,2022-09-23,-3.3,1542.41,15064.61
287,MRVL,2022-09-07,2022-09-16,-3.3,1542.41,15271.37
288,PLTR,2022-09-08,2022-09-22,-3.3,1542.41,15167.55
289,WDC,2022-09-08,2022-09-13,-3.3,1542.41,15373.17
295,MRVL,2022-09-30,2022-10-10,-3.3,1506.46,14766.99
296,UBER,2022-09-30,2022-10-11,-3.3,1506.46,14717.28
294,DASH,2022-09-30,2022-10-03,-3.3,1506.46,15014.9
297,INTC,2022-10-03,2022-10-07,-3.3,1501.49,14965.35
298,LRCX,2022-10-03,2022-10-07,-3.3,1501.49,14915.8
299,CMCSA,2022-10-03,2022-10-07,-3.3,1501.49,14866.25
301,AMAT,2022-10-03,2022-10-07,-3.3,1501.49,14816.7
300,BA,2022-10-03,2023-02-10,68.59,1501.49,16393.86
306,GE,2022-10-13,2023-02-23,56.23,1471.73,17221.41
307,ORCL,2022-10-13,2023-02-23,36.07,1471.73,17752.26
308,SPGI,2022-10-14,2023-02-24,20.1,1471.73,18048.08
311,DIS,2022-10-14,2022-11-09,-3.3,1471.73,15517.1
310,WELL,2022-10-14,2023-02-24,30.31,1471.73,18836.63
309,MCO,2022-10-14,2023-02-24,23.27,1471.73,18390.55
329,ABNB,2022-11-10,2022-11-17,-3.3,1551.71,15465.89
330,CRWD,2022-12-08,2022-12-16,-3.3,1546.59,15414.85
331,COP,2022-12-21,2022-12-22,-3.3,1541.49,15363.99
332,CRM,2022-12-29,2023-05-10,54.26,1536.4,19360.91
333,AAPL,2023-01-09,2023-05-18,34.59,1536.4,19769.26
340,GOOG,2023-03-03,2023-03-10,-3.3,1883.66,18774.47
339,NEE,2023-03-03,2023-07-10,-3.3,1883.66,19447.22
341,AMGN,2023-03-13,2023-05-17,-3.3,1877.45,19237.82
342,ISRG,2023-03-14,2023-07-24,37.22,1877.45,20081.19
343,PNC,2023-03-17,2023-03-24,-3.3,1877.45,18712.51
344,SLB,2023-03-20,2023-03-24,-3.3,1877.45,18650.56
345,KKR,2023-03-21,2023-03-24,-3.3,1877.45,18588.6
346,COP,2023-03-27,2023-08-04,18.39,1858.86,20423.04
347,GS,2023-03-27,2023-08-04,11.44,1858.86,20635.69
348,STX,2023-03-29,2023-04-19,-3.3,1858.86,18527.26
353,ADP,2023-04-27,2023-05-11,-3.3,1852.73,19299.77
355,COF,2023-05-15,2023-09-22,10.56,1929.98,20635.65
356,ADBE,2023-05-17,2023-09-26,41.67,1923.78,21437.29
357,MPC,2023-05-19,2023-05-30,-3.3,1976.93,19638.78
358,ANET,2023-05-19,2023-05-24,-3.3,1976.93,19704.02
360,T,2023-06-06,2023-07-14,-3.3,1963.88,19382.41
361,VLO,2023-06-07,2023-06-21,-3.3,1963.88,19573.97
362,NEM,2023-07-03,2023-07-06,-3.3,1957.4,19509.38
364,PLTR,2023-08-14,2023-08-16,-3.3,2063.57,20567.59
366,PANW,2023-08-21,2023-08-22,-3.3,2056.76,20499.72
365,MRVL,2023-08-21,2023-08-24,-3.3,2056.76,20431.85
367,USB,2023-10-06,2023-10-20,-3.3,2143.73,21366.55
368,RTX,2023-10-09,2024-02-16,25.31,2143.73,21698.3
369,MMM,2023-10-24,2023-10-27,-3.3,2136.65,21296.04
370,BA,2023-10-31,2024-03-12,-1.68,2129.6,21662.52
371,DHR,2023-10-31,2024-03-12,31.65,2129.6,22336.54
372,TMO,2023-10-31,2024-03-12,34.07,2129.6,23062.09
374,TSLA,2023-11-01,2024-01-25,-3.3,2129.6,21225.76
373,PLD,2023-11-01,2024-03-13,31.77,2129.6,23738.67
375,SPGI,2023-11-02,2024-03-14,12.83,2129.6,24011.9
376,MDT,2023-11-13,2024-03-25,17.11,2129.6,24376.27
381,HOOD,2024-01-29,2024-01-30,-3.3,2122.58,21155.72
382,MU,2024-04-26,2024-05-01,-3.3,2437.63,24295.83
383,AMD,2024-04-26,2024-05-01,-3.3,2437.63,24215.39
384,DASH,2024-04-26,2024-05-01,-3.3,2437.63,24134.95
385,MCD,2024-05-01,2024-05-08,-3.3,2413.49,24055.3
386,ACN,2024-06-06,2024-06-13,-3.3,2405.53,23975.92
387,CRM,2024-06-20,2024-08-05,-3.3,2397.59,23817.68
388,MU,2024-07-31,2024-08-01,-3.3,2397.59,23896.8
389,HOOD,2024-08-06,2024-08-08,-3.3,2381.77,23739.08
390,ABNB,2024-08-08,2024-12-16,15.02,2373.91,23939.22
391,DELL,2024-08-08,2024-08-09,-3.3,2373.91,23660.74
392,UPS,2024-08-15,2024-12-23,-0.01,2366.07,23938.99
393,REGN,2024-11-01,2024-11-06,-3.3,2366.07,23582.66
394,UBER,2024-12-18,2025-05-01,31.81,2393.92,22564.03
395,BX,2025-01-14,2025-02-11,-3.3,2393.9,23701.99
396,STX,2025-01-14,2025-03-06,-3.3,2393.9,23232.42
397,PEP,2025-01-17,2025-02-04,-3.3,2393.9,23780.99
398,NVDA,2025-01-31,2025-02-03,-3.3,2393.9,23859.99
399,CMCSA,2025-02-06,2025-04-07,-3.3,2378.1,22020.04
400,XOM,2025-02-06,2025-03-05,-3.3,2378.1,23311.42
401,AMD,2025-02-11,2025-02-25,-3.3,2370.2,23623.77
403,TSLA,2025-03-03,2025-03-04,-3.3,2362.38,23467.86
402,APP,2025-03-03,2025-03-04,-3.3,2362.38,23545.81
404,PLTR,2025-03-03,2025-03-04,-3.3,2362.38,23389.9
405,NOW,2025-03-05,2025-03-06,-3.3,2331.14,23155.49
406,MRVL,2025-03-05,2025-03-06,-3.3,2331.14,23078.57
407,ANET,2025-03-05,2025-03-06,-3.3,2331.14,23001.64
408,TSLA,2025-03-05,2025-03-06,-3.3,2331.14,22924.71
