,baseline_curve
2024-01-13,116.6416579523771
2024-01-14,116.69836991264833
2024-01-15,116.63965874345159
2024-01-16,116.69674891125229
2024-01-17,116.56549496201161
2024-01-18,116.55415171295695
2024-01-19,116.5751054933385
2024-01-20,116.71715678558765
2024-01-21,116.71715678558765
2024-01-22,116.66412684844325
2024-01-23,116.30387688661594
2024-01-24,116.20607823633713
2024-01-25,116.19560495745291
2024-01-26,116.01938128045222
2024-01-27,116.02443007813127
2024-01-28,115.9482170039723
2024-01-29,116.42980796175489
2024-01-30,116.59693847920016
2024-01-31,116.6464937444629
2024-02-01,117.1831377162444
2024-02-02,117.64820305185084
2024-02-03,117.64820305185084
2024-02-04,118.20913021635366
2024-02-05,118.142807553546
2024-02-06,118.0907436092173
2024-02-07,118.17380051467714
2024-02-08,118.38505169718397
2024-02-09,118.38174397615042
2024-02-10,118.42823288588309
2024-02-11,118.42823288588309
2024-02-12,118.44168830567968
2024-02-13,118.43068594836123
2024-02-14,118.52961415290208
2024-02-15,119.88700150536147
2024-02-16,120.38664862616828
2024-02-17,120.81572867422778
2024-02-18,120.81572867422778
2024-02-19,120.98228179225747
2024-02-20,121.12337609599476
2024-02-21,123.11326415153036
2024-02-22,123.37409675391895
2024-02-23,123.26089846317028
2024-02-24,124.21754101402902
2024-02-25,124.2254180222242
2024-02-26,124.42507350351522
2024-02-27,126.33333171648844
2024-02-28,126.16629016845758
2024-02-29,126.61820902886156
2024-03-01,126.6227110338046
2024-03-02,126.6227110338046
2024-03-03,126.49144711413626
2024-03-04,126.62675997364809
2024-03-05,131.08280474289572
2024-03-06,131.43512003491895
2024-03-07,131.49435980265045
2024-03-08,131.8266532692791
2024-03-09,131.8266532692791
2024-03-10,131.66605820316582
2024-03-11,131.67654341061368
2024-03-12,131.44540824355738
2024-03-13,131.4467286072154
2024-03-14,131.44646429960278
2024-03-15,132.42950308867682
2024-03-16,132.54260941392545
2024-03-17,132.60970317327283
2024-03-18,132.57789648168895
2024-03-19,132.04320996193937
2024-03-20,131.45639072537318
2024-03-21,131.4996436971661
2024-03-22,131.50719520666638
2024-03-23,131.36165766986187
2024-03-24,131.36165766986187
2024-03-25,131.3609419560429
2024-03-26,131.35821832394424
2024-03-27,131.3095139985636
2024-03-28,131.39441715534724
2024-03-29,131.43946246085656
2024-03-30,132.23657773640005
2024-03-31,132.3819744134329
2024-04-01,132.77160814555154
2024-04-02,133.07936587812603
2024-04-03,132.803529195662
2024-04-04,132.80912193300955
2024-04-05,132.61526095404398
2024-04-06,132.4436902145332
2024-04-07,132.44584451551225
2024-04-08,132.5098876408685
2024-04-09,132.43742956568474
2024-04-10,132.17464122680903
2024-04-11,132.1335934260898
2024-04-12,131.62288082595308
2024-04-13,131.53180320839556
2024-04-14,131.53180320839556
2024-04-15,131.28115542265118
2024-04-16,130.46571792181382
2024-04-17,130.35819527318665
2024-04-18,129.50180873081138
2024-04-19,129.27786066386494
2024-04-20,129.2439884238559
2024-04-21,129.2439884238559
2024-04-22,129.24444414656443
2024-04-23,130.78676985366735
2024-04-24,130.89126974081339
2024-04-25,130.8128607649212
2024-04-26,131.14628341290782
2024-04-27,131.14628341290782
2024-04-28,131.14628341290782
2024-04-29,131.131015420731
2024-04-30,130.82317516861244
2024-05-01,130.89336832219453
2024-05-02,131.04840148594192
2024-05-03,131.40187717868287
2024-05-04,131.40187717868287
2024-05-05,131.40187717868287
2024-05-06,131.58465723972915
2024-05-07,131.5335322791896
2024-05-08,131.56868505912882
2024-05-09,131.63661764007867
2024-05-10,131.64755096810666
2024-05-11,132.51921233678976
2024-05-12,132.5078631420214
2024-05-13,132.53228127382397
2024-05-14,132.58118312253103
2024-05-15,132.78194063005012
2024-05-16,132.71152838643263
2024-05-17,132.78839490258966
2024-05-18,132.64113740263505
2024-05-19,132.64113740263505
2024-05-20,132.66843327604477
2024-05-21,132.66843327604477
2024-05-22,132.64840804773095
2024-05-23,132.7744610644712
2024-05-24,132.88674949602117
2024-05-25,134.58270724777378
2024-05-26,134.51213320534896
2024-05-27,135.33069880753644
2024-05-28,135.24598289007065
2024-05-29,135.61211438722464
2024-05-30,136.37840168601352
2024-05-31,136.35860704985646
2024-06-01,136.37113513862695
2024-06-02,136.26196796898188
2024-06-03,136.08133211706976
2024-06-04,136.4606013009323
2024-06-05,136.5821817289053
2024-06-06,136.60655012509517
2024-06-07,136.32805006665905
2024-06-08,136.25748719454793
2024-06-09,136.53514106679236
2024-06-10,136.2824274601638
2024-06-11,135.9279495657277
2024-06-12,135.6212360386937
2024-06-13,135.50065614017512
2024-06-14,135.3354322928623
2024-06-15,135.29931737029563
2024-06-16,135.26681504475533
2024-06-17,135.27888364598118
2024-06-18,134.69190457400717
2024-06-19,134.69190457400717
2024-06-20,135.2374408453548
2024-06-21,135.21745332055025
2024-06-22,135.21883428271633
2024-06-23,135.21883428271633
2024-06-24,135.14757491276245
2024-06-25,135.1843001408433
2024-06-26,135.10118670824488
2024-06-27,135.3809979031307
2024-06-28,135.1973774059141
2024-06-29,135.1973774059141
2024-06-30,135.13486046290416
2024-07-01,135.23550772074714
2024-07-02,135.2457641426392
2024-07-03,134.72506036968835
2024-07-04,134.59980427393532
2024-07-05,134.64362078546912
2024-07-06,134.64362078546912
2024-07-07,134.69604306801108
2024-07-08,134.65557053080445
2024-07-09,134.65557053080445
2024-07-10,134.55580888855928
2024-07-11,134.56810265027144
2024-07-12,134.4983679921525
2024-07-13,134.4983679921525
2024-07-14,134.4983679921525
2024-07-15,135.7024098598374
2024-07-16,135.81154911204308
2024-07-17,135.90078754095168
2024-07-18,135.91954297867895
2024-07-19,136.00225563902418
2024-07-20,136.60340015032796
2024-07-21,136.96090545446089
2024-07-22,137.3136782470608
2024-07-23,137.29685443509075
2024-07-24,137.52253502953914
2024-07-25,137.3653880643981
2024-07-26,137.26359395544438
2024-07-27,137.26359395544438
2024-07-28,137.26359395544438
2024-07-29,137.07040218332438
2024-07-30,136.83418760339148
2024-07-31,136.86501464413567
2024-08-01,136.6571544457792
2024-08-02,135.85879230280344
2024-08-03,135.85879230280344
2024-08-04,135.91403528196824
2024-08-05,135.47022555630448
2024-08-06,135.66655750358655
2024-08-07,135.6360198925857
2024-08-08,135.25282025237684
2024-08-09,135.06568828488548
2024-08-10,135.06568828488548
2024-08-11,134.89760455617272
2024-08-12,134.88389332548363
2024-08-13,134.7044524302866
2024-08-14,135.45759517906336
2024-08-15,136.32205552086842
2024-08-16,136.28390363236127
2024-08-17,136.28390363236127
2024-08-18,136.28390363236127
2024-08-19,136.4064740802599
2024-08-20,136.50202702815216
2024-08-21,136.50202702815216
2024-08-22,136.50202702815216
2024-08-23,136.76776451264013
2024-08-24,136.76776451264013
2024-08-25,136.41116606322598
2024-08-26,137.13277400959376
2024-08-27,137.13923384083617
2024-08-28,137.2068594493079
2024-08-29,137.31040537238698
2024-08-30,137.28632713428863
2024-08-31,137.2822836770664
2024-09-01,137.06899902169474
2024-09-02,136.7662644914041
2024-09-03,136.74247702245026
2024-09-04,136.35268366588025
2024-09-05,135.98352244203406
2024-09-06,135.77629128659407
2024-09-07,135.74395467651368
2024-09-08,135.74395467651368
2024-09-09,135.82286212505477
2024-09-10,135.85608445252174
2024-09-11,135.70716960654428
2024-09-12,136.11932361379408
2024-09-13,136.11932361379408
2024-09-14,136.17092106989728
2024-09-15,136.17092106989728
2024-09-16,136.3438042484034
2024-09-17,136.69712685275647
2024-09-18,136.806060981962
2024-09-19,136.90110050584593
2024-09-20,136.97025517598505
2024-09-21,136.97025517598505
2024-09-22,136.67013294885976
2024-09-23,136.7108995680411
2024-09-24,136.7449675458239
2024-09-25,136.85348381838514
