entry_time,direction,entry_price,exit_time,exit_price,result,pnl_pct_gross,pnl_pct,fib_score,symbol,passive_pnl_pct
2022-05-12,long,31.468761737056937,2022-05-13,33.57478814960693,take_profit,6.69,6.39,0.67,FCX,4.52
2022-05-12,long,132.32000732421875,2022-05-13,139.08140588378907,take_profit,5.11,4.81,0.66,CDNS,7.35
2022-05-12,long,102.40550231933594,2022-05-17,115.67896826171875,take_profit,12.96,12.66,0.33,AMZN,12.36
2022-05-12,long,75.05166625976562,2022-05-13,82.54820611572265,take_profit,9.99,9.69,0.33,PANW,8.74
2022-05-12,long,81.29399871826172,2022-05-13,86.36941574096679,take_profit,6.24,5.94,0.33,NOW,11.06
2022-05-12,long,123.58266336969952,2022-05-13,130.49211430385452,take_profit,5.59,5.29,0.66,TT,5.83
2022-05-12,long,21.690000534057617,2022-05-13,24.39456076812744,take_profit,12.47,12.17,0.33,UBER,12.15
2022-05-16,long,113.25,2022-05-18,109.85249999999999,stop_loss,-3.0,-3.3,0.33,ABNB,-4.91
2022-05-17,long,50.58190367740596,2022-05-18,53.74834065457358,take_profit,6.26,5.96,0.33,TJX,11.81
2022-05-18,long,34.09000015258789,2022-05-27,40.32276011657715,take_profit,18.28,17.98,0.33,CRWD,22.04
2022-05-18,long,7.920000076293945,2022-05-24,7.682400074005127,stop_loss,-3.0,-3.3,0.33,PLTR,-4.97
2022-05-19,long,316.2248189741149,2022-05-20,329.4608184817116,take_profit,4.19,3.89,0.67,MA,3.32
2022-05-19,long,155.1030834931678,2022-06-01,167.06204886070535,take_profit,7.71,7.41,0.33,CME,6.78
2022-05-20,long,248.97430955456767,2022-05-23,262.59181493395437,take_profit,5.47,5.17,0.34,ACN,5.38
2022-05-20,long,129.35850970268208,2022-05-23,135.53836523559502,take_profit,4.78,4.48,0.34,PNC,6.15
2022-05-20,long,97.00479064984684,2022-05-31,107.16655414093638,take_profit,10.48,10.18,0.33,DIS,10.08
2022-05-24,long,143.8385895558967,2022-05-25,151.41225379029098,take_profit,5.27,4.97,0.33,MAR,6.24
2022-05-24,long,206.85667419433597,2022-05-25,219.97670196533204,take_profit,6.34,6.04,0.33,TSLA,5.86
2022-06-07,long,437.6175489414893,2022-06-17,424.48902247324463,stop_loss,-3.0,-3.3,0.33,COST,-3.11
2022-06-16,long,6.809999942779541,2022-06-21,7.692640001296997,take_profit,12.96,12.66,0.34,HOOD,10.57
2022-06-16,long,186.8300018310547,2022-06-21,197.01812139892579,take_profit,5.45,5.15,0.33,ISRG,3.71
2022-06-23,long,90.67413580482996,2022-06-27,99.9248127861633,take_profit,10.2,9.9,1.0,VLO,9.2
2022-06-23,long,62.072247436349095,2022-06-24,65.76856994536391,take_profit,5.95,5.65,0.33,STX,5.96
2022-06-23,long,39.880506209408125,2022-06-24,42.602278127387535,take_profit,6.82,6.52,0.33,LRCX,8.07
2022-06-23,long,74.64941802994983,2022-06-28,82.08315122359639,take_profit,9.96,9.66,0.66,COP,9.67
2022-06-23,long,71.65251896426734,2022-06-28,77.37051613890765,take_profit,7.98,7.68,0.66,PSX,6.54
2022-06-23,long,118.20123803447896,2022-06-28,126.61068290798625,take_profit,7.11,6.81,0.33,CVX,6.69
2022-06-30,long,186.31474595073325,2022-07-26,196.41102001857223,take_profit,5.42,5.12,0.33,SYK,5.01
2022-06-30,long,160.51912207950005,2022-07-19,172.76725744951355,take_profit,7.63,7.33,0.33,HCA,7.11
2022-07-05,long,90.63019579645584,2022-07-12,95.21087207306145,take_profit,5.05,4.75,0.33,MMM,3.36
2022-07-14,long,75.99401152424787,2022-07-22,79.88704947967703,take_profit,5.12,4.82,0.33,MDT,4.34
2022-07-14,long,37.81679204177651,2022-07-18,40.06417453031385,take_profit,5.94,5.64,0.66,DELL,3.47
2022-07-19,long,84.052001953125,2022-07-20,88.27357006835938,take_profit,5.02,4.72,0.33,NOW,8.41
2022-08-22,long,49.709999084472656,2022-09-01,48.21869911193848,stop_loss,-3.0,-3.3,0.66,FTNT,-2.63
2022-09-01,long,23.3700008392334,2022-09-09,27.41976035308838,take_profit,17.33,17.03,0.33,APP,18.36
2022-09-06,long,7.170000076293945,2022-09-12,7.86148014831543,take_profit,9.64,9.34,0.33,PLTR,11.42
2022-09-06,long,44.16854767692468,2022-09-08,46.715187550830066,take_profit,5.77,5.47,0.33,MRVL,7.13
2022-09-06,long,94.33048688124904,2022-09-07,97.7274677389162,take_profit,3.6,3.3,0.33,COF,3.43
2022-09-06,long,56.71721931048832,2022-09-09,60.890669008033825,take_profit,7.36,7.06,0.33,STX,7.65
2022-09-06,long,265.739990234375,2022-09-07,277.2866834716797,take_profit,4.35,4.05,0.34,TSLA,6.46
2022-09-07,long,77.73999786376953,2022-09-09,83.55267901611329,take_profit,7.48,7.18,1.0,AMD,9.62
2022-09-07,long,30.194337839321,2022-09-09,32.11564026485539,take_profit,6.36,6.06,1.0,WDC,8.85
2022-09-08,long,115.69685974974156,2022-09-09,121.36958292668024,take_profit,4.9,4.6,1.0,QCOM,4.58
2022-09-29,long,41.49793539533745,2022-09-30,43.47245450145919,take_profit,4.76,4.46,0.34,MRVL,1.6
2022-09-29,long,26.0,2022-10-04,27.96470018005371,take_profit,7.56,7.26,0.66,UBER,11.97
2022-09-29,long,48.93999862670898,2022-10-04,53.47591981506347,take_profit,9.27,8.97,0.33,DASH,10.37
2022-09-30,long,29.03655601922155,2022-10-11,28.1654593386449,stop_loss,-3.0,-3.3,0.33,VZ,-4.0
2022-09-30,long,34.5003856123091,2022-10-04,38.41898129927555,take_profit,11.36,11.06,0.33,LRCX,11.61
2022-09-30,long,78.88701331006233,2022-10-04,85.1714523495304,take_profit,7.97,7.67,0.34,AMAT,9.37
2022-09-30,long,24.489751800272444,2022-10-11,23.75505924626427,stop_loss,-3.0,-3.3,0.33,INTC,-3.02
2022-09-30,long,120.98999786376952,2022-10-04,128.65055764770506,take_profit,6.33,6.03,0.33,BA,10.05
2022-09-30,long,375.1792153135581,2022-10-04,398.2384904648822,take_profit,6.15,5.85,0.33,INTU,6.16
2022-09-30,long,23.826563539829067,2022-10-27,26.59968866789949,take_profit,11.64,11.34,0.67,CMCSA,9.86
2022-10-03,long,129.4469355580006,2022-10-25,139.02263768085353,take_profit,7.4,7.1,0.34,UPS,4.45
2022-10-03,long,63.69576431395984,2022-10-04,67.43694765200819,take_profit,5.87,5.57,0.33,BKNG,7.87
2022-10-10,long,141.7728451807497,2022-11-14,150.04278368513823,take_profit,5.83,5.53,0.66,CME,2.91
2022-10-11,long,58.83543997250781,2022-10-14,62.84929629656103,take_profit,6.82,6.52,0.33,ORCL,4.01
2022-10-12,long,38.55038638389678,2022-10-13,40.93396724294841,take_profit,6.18,5.88,0.33,GE,7.44
2022-10-13,long,170.5401812238148,2022-10-17,182.19392074072107,take_profit,6.83,6.53,0.33,UNP,5.97
2022-10-13,long,51.60049164918452,2022-11-08,57.99421020410262,take_profit,12.39,12.09,0.34,WELL,17.42
2022-10-13,long,276.6000061035156,2022-10-25,317.79380322265627,take_profit,14.89,14.59,0.33,ADBE,16.76
2022-10-13,long,124.85011964415705,2022-10-14,132.69346888729615,take_profit,6.28,5.98,0.66,AXP,4.41
2022-10-13,long,222.43369976074604,2022-10-25,243.96238665522546,take_profit,9.68,9.38,0.67,MCO,11.63
2022-10-13,long,428.3003446143799,2022-10-18,454.34951475474645,take_profit,6.08,5.78,0.67,COST,5.1
2022-10-13,long,87.94907553323024,2022-10-18,96.13385964325128,take_profit,9.31,9.01,0.33,DIS,8.27
2022-10-13,long,459.653543227389,2022-10-14,514.6099927057669,take_profit,11.96,11.66,0.66,BLK,9.21
2022-10-13,long,255.41855868007636,2022-10-25,280.36233238061055,take_profit,9.77,9.47,1.0,SPGI,11.41
2022-10-13,long,32.30046285923761,2022-10-14,34.427944158832005,take_profit,6.59,6.29,0.66,USB,11.08
2022-10-13,long,455.6908914220628,2022-10-18,503.8743122768054,take_profit,10.57,10.27,0.33,EQIX,8.86
2022-10-13,long,87.22525166582247,2022-10-18,95.61491418823857,take_profit,9.62,9.32,0.67,PLD,7.68
2022-10-13,long,24.674554060081448,2022-10-14,25.95603631741479,take_profit,5.19,4.89,0.33,WMB,1.25
2022-10-13,long,169.3006506115931,2022-10-14,179.14294348226653,take_profit,5.81,5.51,0.67,V,4.29
2022-10-13,long,24.39682078956288,2022-10-14,26.361543184106733,take_profit,8.05,7.75,1.0,CSX,5.55
2022-10-13,long,261.3037512410468,2022-10-14,275.91598793452886,take_profit,5.59,5.29,0.33,GS,3.95
2022-10-13,long,84.32922261837516,2022-10-14,89.7291259611461,take_profit,6.4,6.1,0.33,ICE,1.45
2022-10-13,long,34.93751579616774,2022-10-14,37.935980540294175,take_profit,8.58,8.28,1.0,C,7.75
2022-10-14,long,204.16000366210935,2022-10-26,230.03503991699216,take_profit,12.67,12.37,0.33,TSLA,9.73
2022-10-17,long,25.250001732253526,2022-10-21,27.54418275370341,take_profit,9.09,8.79,0.67,KLAC,10.67
2022-10-17,long,37.0,2022-10-18,39.79010960388184,take_profit,7.54,7.24,0.33,CRWD,5.7
2022-11-09,long,95.1500015258789,2022-11-10,100.9933620300293,take_profit,6.14,5.84,0.33,ABNB,7.32
2022-12-16,long,96.125863118988,2022-12-21,101.67606552830317,take_profit,5.77,5.47,0.66,COP,6.37
2022-12-22,long,124.19144241696245,2023-01-03,133.21803351460625,take_profit,7.27,6.97,0.33,CRM,6.38
2023-01-03,long,121.99252821247748,2023-01-09,128.19481805919284,take_profit,5.08,4.78,0.33,AAPL,4.52
2023-01-06,long,27.227500915527344,2023-01-09,29.10960055541992,take_profit,6.91,6.61,0.33,ANET,5.17
2023-01-06,long,81.43000030517578,2023-01-09,85.15880102539063,take_profit,4.58,4.28,0.66,AMZN,6.98
2023-01-06,long,84.11413611960162,2023-01-09,88.18210835273953,take_profit,4.84,4.54,0.33,GOOGL,3.42
2023-01-06,long,23.065000534057617,2023-01-17,25.02911058807373,take_profit,8.52,8.22,0.66,CRWD,12.89
2023-01-12,long,66.11000061035156,2023-01-18,71.62650061035156,take_profit,8.34,8.04,0.67,PANW,6.85
2023-02-24,long,88.08339162203906,2023-03-03,92.75278354142293,take_profit,5.3,5.0,0.33,GOOG,5.51
2023-03-01,long,62.86112639586966,2023-03-06,66.78110493020914,take_profit,6.24,5.94,0.33,NEE,6.54
2023-03-09,long,202.4571926163517,2023-03-29,215.94981273323427,take_profit,6.66,6.36,0.67,AMGN,6.63
2023-03-13,long,222.6499938964844,2023-03-14,234.66947216796876,take_profit,5.4,5.1,0.33,ISRG,5.37
2023-03-16,long,40.62737585590612,2023-03-21,43.61168155982693,take_profit,7.35,7.05,0.33,SLB,9.23
2023-03-16,long,105.63287759308926,2023-03-21,115.24141047593014,take_profit,9.1,8.8,0.33,PNC,8.52
2023-03-17,long,46.236428034727695,2023-03-21,48.99842630564713,take_profit,5.97,5.67,0.34,KKR,7.22
2023-03-24,long,202.23896164739796,2023-03-30,214.0848525113706,take_profit,5.86,5.56,0.33,CAT,5.05
2023-03-24,long,29.189742902002884,2023-03-28,30.33592005579156,take_profit,3.93,3.63,0.33,CMCSA,3.02
2023-03-24,long,54.153062873101234,2023-03-30,56.84293385342312,take_profit,4.97,4.67,0.34,JCI,3.71
2023-03-24,long,281.1122602143736,2023-03-29,296.672580708769,take_profit,5.54,5.24,1.0,GS,4.73
2023-03-24,long,83.11887801569665,2023-03-27,87.66187704094996,take_profit,5.47,5.17,0.67,COP,4.22
2023-03-24,long,176.50790233362426,2023-03-31,187.1706281350805,take_profit,6.04,5.74,0.67,CB,5.58
2023-03-28,long,54.60105755681533,2023-03-29,57.59024575236364,take_profit,5.47,5.17,0.33,STX,7.49
2023-04-26,long,186.6691897277333,2023-04-28,202.39438400694846,take_profit,8.42,8.12,0.33,ADP,8.9
2023-05-04,long,108.26712830426092,2023-05-19,114.47670904869237,take_profit,5.74,5.44,0.33,IBM,5.64
2023-05-04,long,60.23806017853373,2023-07-24,67.57832290418376,take_profit,12.19,11.89,0.33,CVS,12.14
2023-05-11,long,80.37619172543585,2023-05-15,83.59218745558898,take_profit,4.0,3.7,0.33,COF,4.99
2023-05-12,long,331.8900146484375,2023-05-15,344.65997119140627,take_profit,3.85,3.55,0.33,ADBE,3.85
2023-05-16,long,99.8561741082953,2023-06-07,106.80754773954948,take_profit,6.96,6.66,0.67,MPC,6.88
2023-05-18,long,33.35499954223633,2023-05-19,35.3267794342041,take_profit,5.91,5.61,0.33,ANET,7.56
2023-05-18,long,29.495615689402676,2023-06-13,32.897698077109034,take_profit,11.53,11.23,0.33,PFE,11.06
2023-06-01,long,96.52668798003452,2023-06-08,104.13648709806677,take_profit,7.88,7.58,0.33,VLO,6.12
2023-06-02,long,12.455092950190782,2023-07-17,12.081440161685057,stop_loss,-3.0,-3.3,0.33,T,-7.56
2023-06-28,long,116.77720616985565,2023-07-18,124.19316223047049,take_profit,6.35,6.05,0.33,ABBV,5.15
2023-06-29,long,38.11691017036916,2023-07-12,40.66130799508272,take_profit,6.68,6.38,0.67,NEM,10.73
2023-08-11,long,14.90999984741211,2023-08-17,14.462699851989745,stop_loss,-3.0,-3.3,0.34,PLTR,-5.4
2023-08-18,long,100.58499908447266,2023-08-21,107.39477987670898,take_profit,6.77,6.47,0.66,PANW,19.4
2023-08-18,long,56.09738935762641,2023-08-21,58.48003733583003,take_profit,4.25,3.95,0.33,MRVL,5.72
