entry_time,direction,entry_price,exit_time,exit_price,result,pnl_pct_gross,pnl_pct,fib_score,symbol
2025-05-13 03:00:00,long,0.3573,2025-05-13 07:00:00,0.3766992,take_profit,5.43,5.13,0.33,ENAUSDT
2025-05-15 14:00:00,long,0.3641,2025-05-15 16:00:00,0.3875112,take_profit,6.43,6.13,0.33,ENAUSDT
2025-05-17 16:00:00,long,1.056,2025-05-18 05:00:00,1.0947040000000001,take_profit,3.67,3.37,0.33,WLDUSDT
2025-05-23 16:00:00,long,1.457e-05,2025-05-23 17:00:00,1.4982999999999999e-05,take_profit,2.83,2.53,0.67,PEPEUSDT
2025-05-24 08:00:00,long,0.3645,2025-05-25 01:00:00,0.35720999999999997,stop_loss,-2.0,-2.3,0.33,ENAUSDT
2025-05-30 16:00:00,long,1.166,2025-05-30 22:00:00,1.14268,stop_loss,-2.0,-2.3,0.33,WLDUSDT
2025-05-30 16:00:00,long,0.19331,2025-05-31 00:00:00,0.1894438,stop_loss,-2.0,-2.3,0.66,DOGEUSDT
2025-05-30 16:00:00,long,0.6821,2025-05-30 18:00:00,0.7041660000000001,take_profit,3.24,2.94,0.33,ADAUSDT
2025-05-30 16:00:00,long,240.0,2025-05-30 18:00:00,250.11024,take_profit,4.21,3.91,0.33,AAVEUSDT
2025-06-01 02:00:00,long,5.883,2025-06-01 04:00:00,6.070384,take_profit,3.19,2.89,0.33,UNIUSDT
2025-06-05 20:00:00,long,5.795,2025-06-06 14:00:00,6.106284,take_profit,5.37,5.07,0.34,UNIUSDT
2025-06-05 20:00:00,long,1.037e-05,2025-06-06 06:00:00,1.098124e-05,take_profit,5.89,5.59,0.34,PEPEUSDT
2025-06-13 13:00:00,long,7.195,2025-06-13 15:00:00,7.544752,take_profit,4.86,4.56,0.34,UNIUSDT
2025-06-13 18:00:00,long,277.46,2025-06-13 23:00:00,288.7762,take_profit,4.08,3.78,0.67,AAVEUSDT
2025-06-18 08:00:00,long,2.68,2025-06-18 09:00:00,2.7930204,take_profit,4.22,3.92,0.34,SUIUSDT
2025-06-18 13:00:00,long,2.072,2025-06-18 14:00:00,2.14634,take_profit,3.59,3.29,0.34,NEARUSDT
2025-06-21 21:00:00,long,130.9,2025-06-22 00:00:00,136.42948,take_profit,4.22,3.92,0.34,SOLUSDT
