time,price,type
2025-11-04 21:00:00,98944.36,low
2025-11-05 20:00:00,104534.74,high
2025-11-07 12:00:00,99260.86,low
2025-11-11 01:00:00,107500.0,high
2025-11-12 19:00:00,100813.59,low
2025-11-13 07:00:00,104085.01,high
2025-11-14 12:00:00,94560.48,low
2025-11-14 16:00:00,97411.11,high
2025-11-14 23:00:00,94012.45,low
2025-11-15 03:00:00,96846.68,high
2025-11-16 22:00:00,93005.55,low
2025-11-17 14:00:00,96043.0,high
2025-11-18 04:00:00,89253.78,low
2025-11-18 16:00:00,93836.01,high
2025-11-19 20:00:00,88608.0,low
2025-11-20 05:00:00,93160.0,high
2025-11-21 07:00:00,82000.0,low
2025-11-21 08:00:00,84709.89,high
2025-11-21 12:00:00,80600.0,low
2025-11-21 14:00:00,85496.0,high
2025-11-21 16:00:00,82333.0,low
2025-11-23 22:00:00,88127.64,high
2025-11-24 14:00:00,85272.0,low
2025-11-24 20:00:00,89228.0,high
2025-11-25 14:00:00,86116.0,low
2025-11-28 14:00:00,93092.0,high
2025-12-01 15:00:00,83822.76,low
2025-12-03 22:00:00,94150.0,high
2025-12-07 14:00:00,87719.28,low
2025-12-07 18:00:00,91760.0,high
2025-12-07 22:00:00,88995.33,low
2025-12-08 09:00:00,92287.15,high
2025-12-09 05:00:00,89500.0,low
2025-12-09 17:00:00,94588.99,high
2025-12-10 15:00:00,91563.15,low
2025-12-10 20:00:00,94476.0,high
2025-12-11 14:00:00,89260.63,low
2025-12-11 21:00:00,93555.0,high
2025-12-15 18:00:00,85146.64,low
2025-12-17 15:00:00,90365.85,high
2025-12-17 19:00:00,85314.0,low
2025-12-18 14:00:00,89477.61,high
2025-12-18 20:00:00,84450.01,low
2025-12-22 12:00:00,90588.23,high
2025-12-24 14:00:00,86420.0,low
2025-12-26 07:00:00,89567.75,high
2025-12-26 15:00:00,86655.08,low
2025-12-29 04:00:00,90406.08,high
2025-12-29 12:00:00,86806.5,low
2026-01-05 20:00:00,94789.08,high
2026-01-08 14:00:00,89311.0,low
2026-01-14 20:00:00,97924.49,high
2026-01-20 23:00:00,87895.98,low
2026-01-21 15:00:00,90574.0,high
2026-01-21 17:00:00,87263.53,low
2026-01-23 17:00:00,91224.99,high
2026-01-25 23:00:00,86074.72,low
2026-01-28 17:00:00,90600.0,high
2026-01-30 01:00:00,81118.0,low
2026-01-30 19:00:00,84621.16,high
2026-01-31 18:00:00,75719.9,low
2026-02-01 00:00:00,79424.0,high
2026-02-01 23:00:00,75700.0,low
2026-02-02 00:00:00,78231.26,high
2026-02-02 03:00:00,74604.0,low
2026-02-02 15:00:00,79360.0,high
2026-02-03 19:00:00,72945.5,low
2026-02-04 03:00:00,76971.52,high
2026-02-05 20:00:00,62345.0,low
2026-02-05 21:00:00,64775.0,high
2026-02-05 22:00:00,62690.9,low
2026-02-05 23:00:00,64908.0,high
2026-02-06 00:00:00,60000.0,low
2026-02-06 02:00:00,66010.0,high
2026-02-06 03:00:00,63770.17,low
2026-02-06 05:00:00,66826.5,high
2026-02-06 08:00:00,64500.0,low
2026-02-06 17:00:00,71500.0,high
2026-02-06 18:00:00,69340.91,low
2026-02-06 23:00:00,71751.33,high
2026-02-07 07:00:00,67300.0,low
2026-02-08 23:00:00,72271.41,high
2026-02-09 14:00:00,68308.0,low
2026-02-09 20:00:00,71126.0,high
2026-02-10 14:00:00,67800.0,low
2026-02-10 17:00:00,69993.65,high
2026-02-11 10:00:00,66369.49,low
2026-02-11 14:00:00,68834.34,high
2026-02-11 15:00:00,65756.0,low
2026-02-12 14:00:00,68410.52,high
2026-02-12 18:00:00,65118.0,low
2026-02-15 08:00:00,70983.0,high
2026-02-15 19:00:00,68000.0,low
2026-02-16 13:00:00,70126.67,high
2026-02-19 14:00:00,65631.83,low
2026-02-21 15:00:00,68698.7,high
2026-02-23 01:00:00,64290.71,low
2026-02-23 10:00:00,66600.0,high
2026-02-24 13:00:00,62510.28,low
2026-02-25 21:00:00,69988.83,high
2026-02-28 06:00:00,63030.0,low
2026-03-01 02:00:00,68199.99,high
2026-03-01 22:00:00,65056.0,low
2026-03-02 16:00:00,70096.0,high
2026-03-03 14:00:00,66158.0,low
2026-03-04 19:00:00,74050.0,high
2026-03-08 22:00:00,65618.49,low
2026-03-10 15:00:00,71777.0,high
2026-03-11 12:00:00,68977.91,low
2026-03-13 14:00:00,73913.74,high
2026-03-14 06:00:00,70317.0,low
2026-03-17 01:00:00,76000.0,high
2026-03-19 15:00:00,68793.35,low
2026-03-20 08:00:00,71367.0,high
2026-03-22 21:00:00,67360.66,low
2026-03-23 14:00:00,71817.09,high
2026-03-24 17:00:00,68923.07,low
2026-03-25 11:00:00,72026.09,high
2026-03-29 22:00:00,65000.0,low
2026-03-31 01:00:00,68408.37,high
2026-03-31 09:00:00,65998.05,low
2026-04-01 07:00:00,69310.0,high
2026-04-02 13:00:00,65712.12,low
2026-04-06 16:00:00,70351.46,high
2026-04-07 15:00:00,67732.01,low
2026-04-08 13:00:00,72857.0,high
2026-04-09 01:00:00,70466.0,low
2026-04-11 19:00:00,73790.0,high
2026-04-12 22:00:00,70505.88,low
2026-04-14 14:00:00,76038.0,high
2026-04-16 13:00:00,73309.85,low
2026-04-17 16:00:00,78333.0,high
2026-04-20 00:00:00,73724.31,low
2026-04-22 16:00:00,79472.82,high
2026-04-23 17:00:00,76960.0,low
2026-04-27 01:00:00,79485.66,high
2026-04-29 18:00:00,74937.52,low
2026-05-04 04:00:00,80635.51,high
2026-05-04 10:00:00,78202.0,low
2026-05-06 11:00:00,82850.0,high
2026-05-08 03:00:00,79181.48,low
2026-05-10 23:00:00,82479.32,high
2026-05-13 16:00:00,78754.65,low
2026-05-14 17:00:00,82048.13,high
2026-05-23 07:00:00,74289.6,low
2026-05-26 14:00:00,78080.0,high
2026-06-03 03:00:00,65426.34,low
2026-06-03 06:00:00,67516.0,high
2026-06-04 02:00:00,61383.56,low
2026-06-04 04:00:00,64764.32,high
2026-06-04 11:00:00,62205.0,low
2026-06-04 14:00:00,64494.92,high
2026-06-05 06:00:00,61126.01,low
2026-06-05 09:00:00,63259.9,high
2026-06-05 19:00:00,59130.91,low
2026-06-05 21:00:00,62000.0,high
2026-06-06 04:00:00,59500.0,low
2026-06-07 22:00:00,64234.68,high
2026-06-10 09:00:00,60755.0,low
2026-06-15 15:00:00,67292.15,high
2026-06-18 17:00:00,62272.07,low
2026-06-22 14:00:00,65622.83,high
2026-06-24 17:00:00,59102.7,low
2026-06-25 07:00:00,61962.4,high
2026-06-25 13:00:00,58115.01,low
2026-06-25 14:00:00,60485.51,high
2026-06-26 03:00:00,58337.0,low
2026-06-26 07:00:00,60759.99,high
2026-06-26 13:00:00,58500.1,low
2026-06-27 15:00:00,60941.17,high
2026-06-29 02:00:00,58900.01,low
2026-06-29 12:00:00,60780.57,high
2026-07-01 01:00:00,57800.19,low
2026-07-05 23:00:00,63999.0,high
2026-07-06 13:00:00,61306.84,low
2026-07-06 21:00:00,64700.0,high
2026-07-08 15:00:00,61544.56,low
2026-07-10 13:00:00,64692.83,high
2026-07-13 18:00:00,61824.97,low
2026-07-15 15:00:00,65600.0,high
2026-07-17 13:00:00,62537.56,low
2026-07-20 00:00:00,65107.99,high
2026-07-20 08:00:00,63100.0,low
2026-07-21 14:00:00,66956.15,high
2026-07-24 14:00:00,63739.75,low
2026-07-27 06:00:00,65744.6,high
2026-07-28 13:00:00,62742.47,low
2026-07-31 01:00:00,65409.56,high
2026-08-01 18:00:00,62275.0,low
2026-08-09 22:00:00,65474.46,high
2026-08-14 14:00:00,62535.24,low
2026-08-21 08:00:00,79500.0,high
2026-08-21 13:00:00,76243.04,low
2026-08-22 03:00:00,78828.15,high
2026-08-23 05:00:00,75545.67,low
2026-08-25 02:00:00,81272.62,high
2026-08-26 15:00:00,77632.58,low
2026-08-28 01:00:00,81478.87,high
