label,deviation_pct,stop_loss_pct,take_profit_fib,use_take_profit,num_trades,num_symbols,num_nan_pnl,win_rate,total_return_pct,avg_return_pct,dd_bot,dd_bot_ohne_nan,dd_block,dd_block_ohne_nan,dd_entry,dd_entry_ohne_nan,dd_exit,dd_exit_ohne_nan,score_bot,score_bot_ohne_nan,score_block,score_block_ohne_nan,score_entry,score_entry_ohne_nan,score_exit,score_exit_ohne_nan,besteht_mindestfilter
dev 4.0 % / Stop 8.0 % / kein Ziel,4.0,8.0,,False,738,143,0,39.0,4259.55,5.77,-94.41,-94.41,-94.41,-94.41,-623.3,-623.3,-809.46,-809.46,1.66,1.66,1.66,1.66,0.251,0.251,0.194,0.194,True
dev 5.0 % / Stop 2.0 % / Fib 0.236,5.0,2.0,0.236,True,510,137,0,31.0,286.75,0.56,-48.25,-48.25,-48.25,-48.25,-129.01,-129.01,-135.25,-135.25,0.262,0.262,0.262,0.262,0.098,0.098,0.094,0.094,False
dev 5.0 % / Stop 2.0 % / Fib 0.382,5.0,2.0,0.382,True,510,137,0,24.3,485.21,0.95,-42.79,-42.79,-42.79,-42.79,-132.14,-132.14,-133.78,-133.78,0.501,0.501,0.501,0.501,0.162,0.162,0.16,0.16,False
dev 5.0 % / Stop 2.0 % / Fib 0.5,5.0,2.0,0.5,True,510,137,0,21.2,655.18,1.28,-45.64,-45.64,-45.64,-45.64,-125.11,-125.11,-157.31,-157.31,0.633,0.633,0.633,0.633,0.231,0.231,0.184,0.184,False
dev 5.0 % / Stop 2.0 % / kein Ziel,5.0,2.0,,False,510,137,0,15.3,1776.49,3.48,-57.5,-57.5,-57.5,-57.5,-167.85,-167.85,-235.45,-235.45,1.367,1.367,1.367,1.367,0.468,0.468,0.334,0.334,True
dev 5.0 % / Stop 3.0 % / Fib 0.236,5.0,3.0,0.236,True,510,137,0,38.8,382.27,0.75,-62.05,-62.05,-62.05,-62.05,-169.17,-169.17,-185.45,-185.45,0.273,0.273,0.273,0.273,0.1,0.1,0.091,0.091,False
dev 5.0 % / Stop 3.0 % / Fib 0.382,5.0,3.0,0.382,True,510,137,0,31.6,688.77,1.35,-56.46,-56.46,-56.46,-56.46,-155.1,-155.1,-172.9,-172.9,0.54,0.54,0.54,0.54,0.197,0.197,0.176,0.176,False
dev 5.0 % / Stop 3.0 % / Fib 0.5,5.0,3.0,0.5,True,510,137,0,28.4,949.19,1.86,-59.54,-59.54,-59.54,-59.54,-155.1,-155.1,-198.0,-198.0,0.705,0.705,0.705,0.705,0.271,0.271,0.212,0.212,False
dev 5.0 % / Stop 3.0 % / kein Ziel,5.0,3.0,,False,510,137,0,21.4,2448.96,4.8,-82.5,-82.5,-82.5,-82.5,-259.86,-259.86,-330.16,-330.16,1.314,1.314,1.314,1.314,0.417,0.417,0.328,0.328,True
dev 5.0 % / Stop 5.0 % / Fib 0.236,5.0,5.0,0.236,True,510,137,0,50.2,458.33,0.9,-113.07,-113.07,-113.07,-113.07,-247.94,-247.94,-276.75,-276.75,0.18,0.18,0.18,0.18,0.082,0.082,0.073,0.073,False
dev 5.0 % / Stop 5.0 % / Fib 0.382,5.0,5.0,0.382,True,510,137,0,41.4,797.3,1.56,-113.81,-113.81,-113.81,-113.81,-238.5,-238.5,-272.73,-272.73,0.31,0.31,0.31,0.31,0.148,0.148,0.129,0.129,False
dev 5.0 % / Stop 5.0 % / Fib 0.5,5.0,5.0,0.5,True,510,137,0,38.0,1173.43,2.3,-113.54,-113.54,-113.54,-113.54,-238.5,-238.5,-299.09,-299.09,0.457,0.457,0.457,0.457,0.218,0.218,0.174,0.174,True
dev 5.0 % / Stop 5.0 % / kein Ziel,5.0,5.0,,False,510,137,0,30.6,2992.92,5.87,-95.61,-95.61,-95.61,-95.61,-361.11,-361.11,-439.61,-439.61,1.386,1.386,1.386,1.386,0.367,0.367,0.302,0.302,True
dev 5.0 % / Stop 8.0 % / Fib 0.236,5.0,8.0,0.236,True,510,137,0,59.8,471.42,0.92,-129.65,-129.65,-129.65,-129.65,-377.53,-377.53,-416.11,-416.11,0.16,0.16,0.16,0.16,0.055,0.055,0.05,0.05,False
dev 5.0 % / Stop 8.0 % / Fib 0.382,5.0,8.0,0.382,True,510,137,0,50.6,840.23,1.65,-140.59,-140.59,-140.59,-140.59,-373.5,-373.5,-415.82,-415.82,0.265,0.265,0.265,0.265,0.1,0.1,0.09,0.09,False
dev 5.0 % / Stop 8.0 % / Fib 0.5,5.0,8.0,0.5,True,510,137,0,47.1,1312.46,2.57,-135.33,-135.33,-135.33,-135.33,-373.5,-373.5,-439.9,-439.9,0.429,0.429,0.429,0.429,0.155,0.155,0.132,0.132,True
dev 5.0 % / Stop 8.0 % / kein Ziel,5.0,8.0,,False,510,137,0,39.0,3728.15,7.31,-116.9,-116.9,-116.9,-116.9,-455.34,-455.34,-567.54,-567.54,1.412,1.412,1.412,1.412,0.363,0.363,0.291,0.291,True
