label,t3_fast,t3_slow,adx_threshold,stop_loss_pct,num_trades,num_symbols,num_nan_pnl,win_rate,total_return_pct,avg_return_pct,dd_bot,dd_bot_ohne_nan,dd_block,dd_block_ohne_nan,dd_entry,dd_entry_ohne_nan,dd_exit,dd_exit_ohne_nan,score_bot,score_bot_ohne_nan,score_block,score_block_ohne_nan,score_entry,score_entry_ohne_nan,score_exit,score_exit_ohne_nan,besteht_mindestfilter
T3 12/21 / ADX 25.0 / Stop 4.0 %,12,21,25.0,4.0,654,18,0,30.3,922.82,1.41,-235.36,-235.36,-108.12,-108.12,-235.36,-235.36,-239.66,-239.66,0.153,0.153,0.334,0.334,0.153,0.153,0.15,0.15,True
T3 12/21 / ADX 30.0 / Stop 2.0 %,12,21,30.0,2.0,337,18,0,21.7,398.1,1.18,-160.59,-160.59,-88.18,-88.18,-160.59,-160.59,-156.34,-156.34,0.135,0.135,0.246,0.246,0.135,0.135,0.139,0.139,True
T3 12/21 / ADX 30.0 / Stop 3.0 %,12,21,30.0,3.0,336,18,0,26.5,366.14,1.09,-196.23,-196.23,-106.96,-106.96,-196.23,-196.23,-194.28,-194.28,0.102,0.102,0.187,0.187,0.102,0.102,0.103,0.103,True
T3 12/21 / ADX 30.0 / Stop 4.0 %,12,21,30.0,4.0,336,18,0,29.8,316.51,0.94,-237.64,-237.64,-88.6,-88.6,-237.64,-237.64,-231.77,-231.77,0.073,0.073,0.194,0.194,0.073,0.073,0.074,0.074,True
T3 12/25 / ADX 20.0 / Stop 2.0 %,12,25,20.0,2.0,1046,18,0,20.2,680.35,0.65,-311.89,-311.89,-82.88,-82.88,-311.89,-311.89,-312.71,-312.71,0.067,0.067,0.254,0.254,0.067,0.067,0.067,0.067,True
T3 12/25 / ADX 20.0 / Stop 3.0 %,12,25,20.0,3.0,1046,18,0,25.8,1053.62,1.01,-483.41,-483.41,-122.67,-122.67,-483.41,-483.41,-486.38,-486.38,0.068,0.068,0.266,0.266,0.068,0.068,0.067,0.067,True
T3 12/25 / ADX 20.0 / Stop 4.0 %,12,25,20.0,4.0,1045,18,0,29.8,1126.48,1.08,-490.13,-490.13,-118.37,-118.37,-490.13,-490.13,-488.22,-488.22,0.071,0.071,0.295,0.295,0.071,0.071,0.072,0.072,True
T3 12/25 / ADX 25.0 / Stop 2.0 %,12,25,25.0,2.0,605,18,0,19.3,500.77,0.83,-193.62,-193.62,-86.21,-86.21,-193.62,-193.62,-193.78,-193.78,0.105,0.105,0.237,0.237,0.105,0.105,0.105,0.105,True
T3 12/25 / ADX 25.0 / Stop 3.0 %,12,25,25.0,3.0,605,18,0,25.0,853.11,1.41,-314.57,-314.57,-142.08,-142.08,-314.57,-314.57,-312.62,-312.62,0.11,0.11,0.244,0.244,0.11,0.11,0.111,0.111,True
T3 12/25 / ADX 25.0 / Stop 4.0 %,12,25,25.0,4.0,604,18,0,28.3,733.82,1.21,-363.67,-363.67,-183.21,-183.21,-363.67,-363.67,-353.17,-353.17,0.082,0.082,0.162,0.162,0.082,0.082,0.084,0.084,True
T3 12/25 / ADX 30.0 / Stop 2.0 %,12,25,30.0,2.0,307,18,0,17.9,184.0,0.6,-176.25,-176.25,-89.78,-89.78,-176.25,-176.25,-183.15,-183.15,0.06,0.06,0.117,0.117,0.06,0.06,0.057,0.057,True
T3 12/25 / ADX 30.0 / Stop 3.0 %,12,25,30.0,3.0,307,18,0,25.7,312.31,1.02,-144.84,-144.84,-153.43,-153.43,-144.84,-144.84,-144.78,-144.78,0.123,0.123,0.116,0.116,0.123,0.123,0.123,0.123,True
T3 12/25 / ADX 30.0 / Stop 4.0 %,12,25,30.0,4.0,306,18,0,29.7,252.21,0.82,-184.56,-184.56,-197.66,-197.66,-184.56,-184.56,-184.56,-184.56,0.078,0.078,0.073,0.073,0.078,0.078,0.078,0.078,True
T3 12/30 / ADX 20.0 / Stop 2.0 %,12,30,20.0,2.0,994,18,0,20.3,721.96,0.73,-378.97,-378.97,-97.07,-97.07,-378.97,-378.97,-379.38,-379.38,0.061,0.061,0.237,0.237,0.061,0.061,0.061,0.061,True
T3 12/30 / ADX 20.0 / Stop 3.0 %,12,30,20.0,3.0,993,18,0,25.9,858.91,0.86,-374.16,-374.16,-103.74,-103.74,-374.16,-374.16,-371.1,-371.1,0.072,0.072,0.261,0.261,0.072,0.072,0.073,0.073,True
T3 12/30 / ADX 20.0 / Stop 4.0 %,12,30,20.0,4.0,993,18,0,29.4,1211.18,1.22,-431.3,-431.3,-116.36,-116.36,-431.3,-431.3,-427.24,-427.24,0.089,0.089,0.33,0.33,0.089,0.089,0.09,0.09,True
T3 12/30 / ADX 25.0 / Stop 2.0 %,12,30,25.0,2.0,556,18,0,19.6,517.77,0.93,-277.39,-277.39,-130.82,-130.82,-277.39,-277.39,-278.71,-278.71,0.079,0.079,0.168,0.168,0.079,0.079,0.079,0.079,True
T3 12/30 / ADX 25.0 / Stop 3.0 %,12,30,25.0,3.0,555,18,0,25.8,562.27,1.01,-285.35,-285.35,-162.67,-162.67,-285.35,-285.35,-283.45,-283.45,0.083,0.083,0.146,0.146,0.083,0.083,0.084,0.084,True
T3 12/30 / ADX 25.0 / Stop 4.0 %,12,30,25.0,4.0,555,18,0,29.9,861.13,1.55,-302.97,-302.97,-143.76,-143.76,-302.97,-302.97,-298.67,-298.67,0.121,0.121,0.254,0.254,0.121,0.121,0.122,0.122,True
T3 12/30 / ADX 30.0 / Stop 2.0 %,12,30,30.0,2.0,277,18,0,20.2,247.29,0.89,-146.8,-146.8,-66.08,-66.08,-146.8,-146.8,-144.66,-144.66,0.101,0.101,0.224,0.224,0.101,0.101,0.102,0.102,True
T3 12/30 / ADX 30.0 / Stop 3.0 %,12,30,30.0,3.0,276,18,0,25.4,186.56,0.68,-171.92,-171.92,-83.24,-83.24,-171.92,-171.92,-171.92,-171.92,0.066,0.066,0.136,0.136,0.066,0.066,0.066,0.066,True
T3 12/30 / ADX 30.0 / Stop 4.0 %,12,30,30.0,4.0,276,18,0,30.8,541.8,1.96,-168.11,-168.11,-108.82,-108.82,-168.11,-168.11,-163.81,-163.81,0.194,0.194,0.299,0.299,0.194,0.194,0.199,0.199,True
T3 16/21 / ADX 20.0 / Stop 2.0 %,16,21,20.0,2.0,1070,18,0,20.0,1205.83,1.13,-279.16,-279.16,-75.04,-75.04,-279.16,-279.16,-281.81,-281.81,0.132,0.132,0.493,0.493,0.132,0.132,0.131,0.131,True
T3 16/21 / ADX 20.0 / Stop 3.0 %,16,21,20.0,3.0,1070,18,0,26.5,1373.23,1.28,-345.39,-345.39,-97.09,-97.09,-345.39,-345.39,-342.95,-342.95,0.121,0.121,0.431,0.431,0.121,0.121,0.122,0.122,True
T3 16/21 / ADX 20.0 / Stop 4.0 %,16,21,20.0,4.0,1070,18,0,30.7,1390.18,1.3,-317.22,-317.22,-129.84,-129.84,-317.22,-317.22,-307.46,-307.46,0.134,0.134,0.328,0.328,0.134,0.134,0.138,0.138,True
T3 16/21 / ADX 25.0 / Stop 2.0 %,16,21,25.0,2.0,624,18,0,19.7,958.1,1.54,-247.44,-247.44,-86.21,-86.21,-247.44,-247.44,-247.6,-247.6,0.155,0.155,0.446,0.446,0.155,0.155,0.155,0.155,True
T3 16/21 / ADX 25.0 / Stop 3.0 %,16,21,25.0,3.0,624,18,0,26.4,1034.49,1.66,-277.35,-277.35,-100.92,-100.92,-277.35,-277.35,-277.35,-277.35,0.15,0.15,0.411,0.411,0.15,0.15,0.15,0.15,True
T3 16/21 / ADX 25.0 / Stop 4.0 %,16,21,25.0,4.0,624,18,0,31.1,1075.26,1.72,-272.42,-272.42,-125.55,-125.55,-272.42,-272.42,-263.82,-263.82,0.158,0.158,0.342,0.342,0.158,0.158,0.163,0.163,True
T3 16/21 / ADX 30.0 / Stop 2.0 %,16,21,30.0,2.0,324,18,0,18.2,216.26,0.67,-190.46,-190.46,-106.61,-106.61,-190.46,-190.46,-195.06,-195.06,0.063,0.063,0.113,0.113,0.063,0.063,0.062,0.062,True
T3 16/21 / ADX 30.0 / Stop 3.0 %,16,21,30.0,3.0,324,18,0,26.5,301.06,0.93,-139.71,-139.71,-115.25,-115.25,-139.71,-139.71,-150.88,-150.88,0.12,0.12,0.145,0.145,0.12,0.12,0.111,0.111,True
T3 16/21 / ADX 30.0 / Stop 4.0 %,16,21,30.0,4.0,324,18,0,32.1,402.78,1.24,-143.93,-143.93,-134.61,-134.61,-143.93,-143.93,-154.72,-154.72,0.155,0.155,0.166,0.166,0.155,0.155,0.144,0.144,True
T3 16/25 / ADX 20.0 / Stop 2.0 %,16,25,20.0,2.0,999,18,0,19.8,352.78,0.35,-389.94,-389.94,-151.9,-151.9,-389.94,-389.94,-392.21,-392.21,0.028,0.028,0.073,0.073,0.028,0.028,0.028,0.028,True
T3 16/25 / ADX 20.0 / Stop 3.0 %,16,25,20.0,3.0,999,18,0,25.4,550.14,0.55,-493.24,-493.24,-121.03,-121.03,-493.24,-493.24,-495.58,-495.58,0.035,0.035,0.144,0.144,0.035,0.035,0.035,0.035,True
T3 16/25 / ADX 20.0 / Stop 4.0 %,16,25,20.0,4.0,999,18,0,29.6,935.63,0.94,-468.5,-468.5,-119.55,-119.55,-468.5,-468.5,-466.09,-466.09,0.063,0.063,0.249,0.249,0.063,0.063,0.064,0.064,True
T3 16/25 / ADX 25.0 / Stop 2.0 %,16,25,25.0,2.0,584,18,0,18.8,262.53,0.45,-337.7,-337.7,-102.44,-102.44,-337.7,-337.7,-337.7,-337.7,0.032,0.032,0.106,0.106,0.032,0.032,0.032,0.032,True
T3 16/25 / ADX 25.0 / Stop 3.0 %,16,25,25.0,3.0,584,18,0,25.7,344.17,0.59,-389.81,-389.81,-123.19,-123.19,-389.81,-389.81,-391.88,-391.88,0.037,0.037,0.116,0.116,0.037,0.037,0.036,0.036,True
T3 16/25 / ADX 25.0 / Stop 4.0 %,16,25,25.0,4.0,584,18,0,30.0,535.9,0.92,-421.13,-421.13,-145.3,-145.3,-421.13,-421.13,-421.13,-421.13,0.053,0.053,0.153,0.153,0.053,0.053,0.053,0.053,True
T3 16/25 / ADX 30.0 / Stop 2.0 %,16,25,30.0,2.0,295,18,0,19.3,71.26,0.24,-157.6,-157.6,-95.31,-95.31,-157.6,-157.6,-157.76,-157.76,0.026,0.026,0.043,0.043,0.026,0.026,0.026,0.026,False
T3 16/25 / ADX 30.0 / Stop 3.0 %,16,25,30.0,3.0,295,18,0,24.4,100.37,0.34,-179.46,-179.46,-92.33,-92.33,-179.46,-179.46,-182.76,-182.76,0.033,0.033,0.063,0.063,0.033,0.033,0.032,0.032,True
T3 16/25 / ADX 30.0 / Stop 4.0 %,16,25,30.0,4.0,295,18,0,28.5,195.99,0.66,-215.5,-215.5,-107.8,-107.8,-215.5,-215.5,-215.13,-215.13,0.053,0.053,0.105,0.105,0.053,0.053,0.053,0.053,True
T3 16/30 / ADX 20.0 / Stop 2.0 %,16,30,20.0,2.0,981,18,0,17.8,425.37,0.43,-249.91,-249.91,-128.54,-128.54,-249.91,-249.91,-251.14,-251.14,0.054,0.054,0.105,0.105,0.054,0.054,0.054,0.054,True
T3 16/30 / ADX 20.0 / Stop 3.0 %,16,30,20.0,3.0,981,18,0,23.2,939.06,0.96,-322.68,-322.68,-121.23,-121.23,-322.68,-322.68,-328.34,-328.34,0.093,0.093,0.248,0.248,0.093,0.093,0.092,0.092,True
T3 16/30 / ADX 20.0 / Stop 4.0 %,16,30,20.0,4.0,980,18,0,28.0,1129.65,1.15,-393.35,-393.35,-132.93,-132.93,-393.35,-393.35,-398.95,-398.95,0.092,0.092,0.271,0.271,0.092,0.092,0.09,0.09,True
T3 16/30 / ADX 25.0 / Stop 2.0 %,16,30,25.0,2.0,589,18,0,17.5,403.3,0.68,-205.19,-205.19,-96.74,-96.74,-205.19,-205.19,-205.84,-205.84,0.08,0.08,0.171,0.171,0.08,0.08,0.08,0.08,True
T3 16/30 / ADX 25.0 / Stop 3.0 %,16,30,25.0,3.0,589,18,0,22.9,655.11,1.11,-304.75,-304.75,-118.74,-118.74,-304.75,-304.75,-306.1,-306.1,0.088,0.088,0.227,0.227,0.088,0.088,0.088,0.088,True
T3 16/30 / ADX 25.0 / Stop 4.0 %,16,30,25.0,4.0,588,18,0,27.9,783.23,1.33,-345.74,-345.74,-161.86,-161.86,-345.74,-345.74,-347.39,-347.39,0.093,0.093,0.199,0.199,0.093,0.093,0.093,0.093,True
T3 16/30 / ADX 30.0 / Stop 2.0 %,16,30,30.0,2.0,287,18,0,15.7,59.87,0.21,-184.91,-184.91,-96.86,-96.86,-184.91,-184.91,-189.51,-189.51,0.019,0.019,0.037,0.037,0.019,0.019,0.019,0.019,False
T3 16/30 / ADX 30.0 / Stop 3.0 %,16,30,30.0,3.0,287,18,0,21.6,354.1,1.23,-191.03,-191.03,-135.22,-135.22,-191.03,-191.03,-194.33,-194.33,0.109,0.109,0.154,0.154,0.109,0.109,0.107,0.107,True
T3 16/30 / ADX 30.0 / Stop 4.0 %,16,30,30.0,4.0,286,18,0,26.6,475.82,1.66,-211.91,-211.91,-134.62,-134.62,-211.91,-211.91,-215.25,-215.25,0.132,0.132,0.209,0.209,0.132,0.132,0.13,0.13,True
